,Decibels,Location,Latitude,Longitude,Volume Category
27,78.118774,"[u'-73.97292,', u'40.688782,']",40.68878,"-73.97292,",Quiet: < 85 decibles
28,78.118774,"[u'-73.97292,', u'40.688782,']",40.68878,"-73.97292,",Quiet: < 85 decibles
29,77.154785,"[u'-73.972872,', u'40.688637,']",40.68863,-73.972872,Quiet: < 85 decibles
30,77.154785,"[u'-73.972872,', u'40.688637,']",40.68863,-73.972872,Quiet: < 85 decibles
31,77.033287,"[u'-73.972849,', u'40.688501,']",40.68850,-73.972849,Quiet: < 85 decibles
32,77.033287,"[u'-73.972849,', u'40.688501,']",40.68850,-73.972849,Quiet: < 85 decibles
33,76.707253,"[u'-73.972773,', u'40.688402,']",40.68840,-73.972773,Quiet: < 85 decibles
34,76.707253,"[u'-73.972773,', u'40.688402,']",40.68840,-73.972773,Quiet: < 85 decibles
35,74.063171,"[u'-73.972711,', u'40.688271,']",40.68827,-73.972711,Quiet: < 85 decibles
36,74.063171,"[u'-73.972711,', u'40.688271,']",40.68827,-73.972711,Quiet: < 85 decibles
37,72.039253,"[u'-73.972737,', u'40.688125,']",40.68812,-73.972737,Quiet: < 85 decibles
38,72.039253,"[u'-73.972737,', u'40.688125,']",40.68812,-73.972737,Quiet: < 85 decibles
39,80.02198,"[u'-73.972775,', u'40.687968,']",40.68796,-73.972775,Quiet: < 85 decibles
40,80.02198,"[u'-73.972775,', u'40.687968,']",40.68796,-73.972775,Quiet: < 85 decibles
41,77.63633,"[u'-73.972777,', u'40.687848,']",40.68784,-73.972777,Quiet: < 85 decibles
42,77.63633,"[u'-73.972777,', u'40.687848,']",40.68784,-73.972777,Quiet: < 85 decibles
43,78.091278,"[u'-73.972733,', u'40.687721,']",40.68772,-73.972733,Quiet: < 85 decibles
44,78.091278,"[u'-73.972733,', u'40.687721,']",40.68772,-73.972733,Quiet: < 85 decibles
45,80.474281,"[u'-73.972714,', u'40.687605,']",40.68760,-73.972714,Quiet: < 85 decibles
46,80.474281,"[u'-73.972714,', u'40.687605,']",40.68760,-73.972714,Quiet: < 85 decibles
47,79.686478,"[u'-73.972675,', u'40.687471,']",40.68747,-73.972675,Quiet: < 85 decibles
48,79.686478,"[u'-73.972675,', u'40.687471,']",40.68747,-73.972675,Quiet: < 85 decibles
49,82.333046,"[u'-73.972518,', u'40.687491,']",40.68749,-73.972518,Quiet: < 85 decibles
50,82.333046,"[u'-73.972518,', u'40.687491,']",40.68749,-73.972518,Quiet: < 85 decibles
51,77.697563,"[u'-73.972352,', u'40.687524,']",40.68752,-73.972352,Quiet: < 85 decibles
52,77.697563,"[u'-73.972352,', u'40.687524,']",40.68752,-73.972352,Quiet: < 85 decibles
53,79.213394,"[u'-73.972176,', u'40.687554,']",40.68755,-73.972176,Quiet: < 85 decibles
54,79.213394,"[u'-73.972176,', u'40.687554,']",40.68755,-73.972176,Quiet: < 85 decibles
55,80.021057,"[u'-73.972039,', u'40.687592,']",40.68759,-73.972039,Quiet: < 85 decibles
56,80.021057,"[u'-73.972039,', u'40.687592,']",40.68759,-73.972039,Quiet: < 85 decibles
57,76.445007,"[u'-73.971818,', u'40.687604,']",40.68760,-73.971818,Quiet: < 85 decibles
58,76.445007,"[u'-73.971818,', u'40.687604,']",40.68760,-73.971818,Quiet: < 85 decibles
59,77.091667,"[u'-73.971787,', u'40.687656,']",40.68765,-73.971787,Quiet: < 85 decibles
